method,accuracy
BDLSTM_leaky_relu,0.743801652892562
GRU_elu,0.7362664073894021
BDLSTM_relu,0.7340787554691298
LSTM_relu,0.7318911035488576
BDLSTM_elu,0.7304326689353428
GRU_leaky_relu,0.722654350996597
GRU_elu,0.7216820612542537
LSTM_elu,0.7216820612542537
GRU_relu,0.7180359747204667
LSTM_leaky_relu,0.7163344676713661
random_forest_classifier,0.5271534442959543
multinomial_naive_bayes,0.4442959543190378
unique_words,0.3016644393147856
most_popular,0.2799173854938646
random,0.192929170210181
