method,accuracy
random,0.192929170210181
most_popular,0.2799173854938646
unique_words,0.3016644393147856
multinomial_naive_bayes,0.4442959543190378
random_forest_classifier,0.5271534442959543
GRU_elu,0.7362664073894021
GRU_elu,0.7216820612542537
GRU_relu,0.7180359747204667
GRU_leaky_relu,0.722654350996597
LSTM_elu,0.7216820612542537
LSTM_relu,0.7318911035488576
LSTM_leaky_relu,0.7163344676713661
BDLSTM_elu,0.7304326689353428
BDLSTM_relu,0.7340787554691298
BDLSTM_leaky_relu,0.743801652892562
